State,Sector,Indicator,Source of finance,Value
All India,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,40.4
All India,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,22.8
All India,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,35.5
All India,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,1.2
All India,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
All India,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,21.2
All India,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,41.9
All India,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,35.1
All India,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,1.8
All India,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
All India,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,35.3
All India,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,28
All India,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,35.4
All India,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,1.4
All India,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Andaman & N. Island,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,21.7
Andaman & N. Island,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,19.7
Andaman & N. Island,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,56.8
Andaman & N. Island,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,1.9
Andaman & N. Island,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Andaman & N. Island,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,8.5
Andaman & N. Island,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,61.1
Andaman & N. Island,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,30.4
Andaman & N. Island,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,0
Andaman & N. Island,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Andaman & N. Island,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,16.6
Andaman & N. Island,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,35.7
Andaman & N. Island,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,46.6
Andaman & N. Island,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,1.1
Andaman & N. Island,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Andhra Pradesh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,48.4
Andhra Pradesh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,19.4
Andhra Pradesh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,28.8
Andhra Pradesh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,3.5
Andhra Pradesh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Andhra Pradesh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,33.4
Andhra Pradesh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,35.5
Andhra Pradesh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,29.1
Andhra Pradesh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,2.1
Andhra Pradesh,Urban,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Andhra Pradesh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,44.2
Andhra Pradesh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,23.9
Andhra Pradesh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,28.8
Andhra Pradesh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Private finance,3.1
Andhra Pradesh,All,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Total,100
Arunachal Pradesh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Any other  source,4.3
Arunachal Pradesh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Bank,3.1
Arunachal Pradesh,Rural,Percentage Distribution of Different Sources of Finance From Which Maximum Amount was Financed by the Household for New House/flat*,Own finance,91.9
