State,Sector,Gender,Indicator,Migration Reason,Value
Andaman & N. Island,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Acquisition of own house/ flat,2.6
Andaman & N. Island,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Acquisition of own house/ flat,0.1
Andaman & N. Island,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Acquisition of own house/ flat,2.7
Andaman & N. Island,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Acquisition of own house/ flat,0.2
Andaman & N. Island,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Business,-
Andaman & N. Island,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Business,-
Andaman & N. Island,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Business,1.1
Andaman & N. Island,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Business,-
Andaman & N. Island,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Displacement by development project,-
Andaman & N. Island,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Displacement by development project,-
Andaman & N. Island,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Displacement by development project,-
Andaman & N. Island,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Displacement by development project,-
Andaman & N. Island,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Health care,-
Andaman & N. Island,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Health care,0
Andaman & N. Island,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Health care,0.8
Andaman & N. Island,Urban,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Health care,1
Andaman & N. Island,Rural,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Housing problems/  insufficient land holding,1.1
Andaman & N. Island,Rural,Female,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Housing problems/  insufficient land holding,1.6
Andaman & N. Island,Urban,Male,Percentage Distribution of Persons by Main Reason for Leaving Last Usual Place of Residence,Housing problems/  insufficient land holding,2.5
