State,Sector,Indicator,Sub Indicator,Value
Andaman & N. Island,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Piped Water into Dwelling or Yard/plot Which was Sufficiently Available Throughout the Year,56.7
Andaman & N. Island,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Piped Water into Dwelling or Yard/plot Which was Sufficiently Available Throughout the Year,70.2
Andaman & N. Island,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,58
Andaman & N. Island,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,70.3
Andaman & N. Island,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises,70.7
Andaman & N. Island,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Improved Source of Drinking Water Located in the Household Premises,98.3
Andaman & N. Island,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,53.8
Andaman & N. Island,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises Which is Sufficiently Available Throughout the Year,69.2
Andaman & N. Island,Rural,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises,66.6
Andaman & N. Island,Urban,"Percentage of Persons Reported Access to Drinking Water, Exclusive Access to Drinking Water, Access to Improved Source of Drinking Water and Sufficiency of Drinking Water",Exclusive Access to Improved Source of Drinking Water Located in the Household Premises,96.4
